carebot-patient-ai-v3-local  | DEBUG:    < TEXT '{"type":"message","session_id":"+97153497405","...د يوم السبت الساعة ٢؟"}' [121 bytes]
carebot-patient-ai-v3-local  | DEBUG:    > TEXT '{"type":"typing","session_id":"+97153497405","is_typing":true}' [62 bytes]
carebot-patient-ai-v3-local  | 2025-12-03 16:35:27,254 - patient_ai_service.core.orchestrator - INFO - Processing message for session: +97153497405
carebot-patient-ai-v3-local  | 2025-12-03 16:35:27,255 - patient_ai_service.core.orchestrator - INFO - 🔍 _ensure_patient_loaded called for session: +97153497405
carebot-patient-ai-v3-local  | 2025-12-03 16:35:27,256 - patient_ai_service.core.orchestrator - INFO - ✅ Patient already loaded in state: 7b262a99-9491-4a6c-b5ae-fcd6e9fd319f
carebot-patient-ai-v3-local  | 2025-12-03 16:35:31,027 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
carebot-patient-ai-v3-local  | 2025-12-03 16:35:31,029 - patient_ai_service.agents.translation - ERROR - Error detecting language/dialect: Expecting value: line 1 column 1 (char 0)
carebot-patient-ai-v3-local  | 2025-12-03 16:35:31,032 - patient_ai_service.core.orchestrator - INFO - Language: en | Message: 'ممكن احجز معاد يوم السبت الساعة ٢؟...' → 'ممكن احجز معاد يوم السبت الساعة ٢؟...'
carebot-patient-ai-v3-local  | 2025-12-03 16:35:31,032 - patient_ai_service.core.orchestrator - INFO - Detected language: en
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,755 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,769 - patient_ai_service.core.reasoning - INFO - Injected language context into minimal_context: en
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,771 - patient_ai_service.core.conversation_memory - INFO - Updated facts for session +97153497405: ['new_appointment_request', 'language_preference']
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO - Reasoning complete for session +97153497405: agent=appointment_manager, urgency=routine, sentiment=neutral
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO - ================================================================================
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO - REASONING OUTPUT (Full Structure):
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO - ================================================================================
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO - UNDERSTANDING:
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO -   - what_user_means: User wants to book a new appointment on Saturday at 2 PM. This appears to be a separate request from the three consecutive appointments already booked for December 10th.
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO -   - is_continuation: False
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,774 - patient_ai_service.core.reasoning - INFO -   - sentiment: neutral
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO -   - is_conversation_restart: False
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO - ROUTING:
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO -   - agent: appointment_manager
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO -   - action: Book a new appointment for Saturday at 2:00 PM - need to clarify which Saturday and what service
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO -   - urgency: routine
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO - MEMORY_UPDATES:
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO -   - new_facts: {
carebot-patient-ai-v3-local  |     "new_appointment_request": "Saturday at 2 PM",
carebot-patient-ai-v3-local  |     "language_preference": "Arabic"
carebot-patient-ai-v3-local  | }
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,775 - patient_ai_service.core.reasoning - INFO -   - system_action: 'booked_three_consecutive_appointments_december_10th' 
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,776 - patient_ai_service.core.reasoning - INFO -   - awaiting: 'specific_saturday_date_and_service_type' 
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,776 - patient_ai_service.core.reasoning - INFO - RESPONSE_GUIDANCE:
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,776 - patient_ai_service.core.reasoning - INFO -   - tone: helpful
carebot-patient-ai-v3-local  | 2025-12-03 16:35:43,776 - patient_ai_service.core.reasoning - INFO -   - minimal_context: {
carebot-patient-ai-v3-local  |     "user_wants": "Book another appointment on Saturday at 2 PM",
carebot-patient-ai-v3-local  |     "action": "Clarify which Saturday and what service needed",
carebot-patient-ai-v3-local  |     "prior_context": "Already has 3 appointments booked for Dec 10th",
